@relation sentimientos
@attribute 'text' string
@attribute 'class' {positive, neutral, negative}
@data
A BITCH CAN TWEET BUT NOT REPLY TO MY WHATSAPP OK THEN,negative
THIS IS LITERALLY ME RUNNING AROUND THE HOUSE PUSHING MY FAMILY OUT THE WAY TO GET SOME SNACKS READY,positive
TONIGHTS PROM MAKEUP ON THE BEAUTIFUL KEEVA .,positive
THANKS FOR INCLUDING ME IN YOUR LUNCH PLANS LOVELY TO CATCH UP AS ALWAYS,positive
SO ENGLAND COULD BE PLAYING EITHER SENEGAL OR COLUMBIA IN  THE NEXT ROUND.,negative
GERMANY ARE OUT WHICH MAKES THEM NULL AND VOID IN THIS RECKONING,neutral
THE ONLY THING I WONT LIKE ABOUT TONIGHTS MATCH IS IT BEING ON ITV SO I HAVE TO PUT UP WITH THOSE HORRENDOUS ADS,neutral
I NEED THE VIDEO WHERE WE CAN SEE ALL EARPERS SINGING AT THE END THANK YOU OFFICIAL PHOTOGRAPHER FROM,neutral
ITS STILL COMING HOME THATS OUR 2ND TEAM,neutral
THIS KAZ TING IS A FUCKING SPICE,negative
ADAM IS HEARTBROKEN GENUINELY FOR THE 200 PLUS TIME,positive
WOULD MAKE A GOOD FISHERMAN,positive
STEAMING HOT,positive
SAYS A LOT THIS SONG BUT THEN AGAIN THEY ALL DO YOU CAN RELATE TO EVERY SONG OF URS ONE WAY,neutral
I WOULD SAY IF SHES 12 THEN THE SHORTS WILL BE FINE. MY 11YO HAS HAMPM SHORTS. NOT LONG BUT ALSO NOT,positive
RASHFORD FUCKING BOTTLER GET HIM OFF,negative
IT WOULD TAKE A LOT OF CHEW STICKS. ..,neutral
7PM  GRAB A PINT AND WATCH WITH US,neutral
TEMPERATURE IS PERFECT IN  MY GARDEN NOW. WATERED  BEDDING PLANTS. HOPED  WOULD HAVE SCORED WHILST I WAS,positive
OH NO I HOPE SHE RECOVERS SOON.,neutral
NATE REALLY WHY DIDNT YOU JUST TXT ME,positive
I GO ON ALL THESE TRIPS EVERYDAY IM READY TO TAKE SOMEONE WITH ME AND MAKE THESE TYPE OF MEMORIES,neutral
NAHHHHHHHHHHHHHHHHHHH IM OUT,neutral
LMFAOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,neutral
SHE REAL LIFE FINE FINE LIKE REAL FUCKING FINE,positive
AND YET I HAVENT SAID ANYTHING STAY IN YO LANE BRUV,neutral
LUCKY FOR YOU IM IN LONDON SO THIS SHIT DONT COME OUT UNTIL 4AM SO I DOUBT I HEAR IT TONIGHT,positive
WELL MAKE SURE YOU GET ENOUGH TO EAT DONT PICK OFF MY PLATE,positive
YOU MEAN BLIND DUDE  BLIND FURY,negative
