@relation sentimientos
@attribute 'text' string
@attribute 'class' {positive, neutral, negative}
@data
ILL TRY AND REMEMBER,negative
BEING PREGNANT IN THIS HEAT IS NOT THE ONE,positive
CANT BELIEVE SOME OLD MAN TRIED TO POKE MY FRESH TATTOO THIS MORNING  WORK LIKE GO AWAY ROGER,positive
I ABSOLUTELY LOVE DANNI,positive
YAAR HE CAN NEVER LOOK BAD EVEN IF HE TRIES ....,negative
THOSE DOCS ARTICLES AND EVEN THE BLOG ARE FREAKING AWESOME REALLY LOVE IT GREAT JOB,positive
JOSH AND GEORGIA GET ON SO WELL BUT THEY HAVE NO WILLPOWER LIKE THEY BOTH CAME FOR A GOOD TIME,positive
GEORGIA NEEDS TO MOVE ONTO JORDAN JOSH IS ANNOYING LIKE HE IS J IRRITATING N HIS EYES WANDER AT EVERY OPPORTUNITY,negative
JACK KISSING KAZIMIR IS A TASK SURELY,positive
KAZIMIR CALLING HERSELF EXOTIC RUINED IT LIKE EW,positive
RIPPING AN ACRYLIC OFF IS ACTUAL PAIN,neutral
DO LADS ACTUALLY JUST SIT ROUND ALL DAY WAITING FOR PEOPLE TO TWEET SO THEY CAN REPLY WITH THIS DIDNT HAPPEN,negative
ACTUAL HIGHLIGHT OF THE GAME OH MY GOD,negative
EVERYTHING IS REALLY SHIT AGAIN,negative
HATE YOU GUYS X,negative
SUPER PROUD OF MY BABY BROTHER FOR GRADUATING FROM HIS PROJECT SEARCH APPRENTICESHIP TODAY SUCH A STAR .,positive
WOW. AS A PLAYER U SHOULD KNOW MAN,positive
BROW DAY TOMORROW CANNOT WAIT,neutral
RIP GRAMPY WILL BE SORELY MISSED,neutral
RIP GRAMPY JUST HOPE YOU KNOW I DO EVERYTHING TO MAKE YOU AND GRANDMA PROUD YOULL BE SORELY MISSED,positive
SOOOO TEMPTED TO AGREE TO THIS JOB OFFER IVE HAD BUT THAT WOULD BE 4 PART TIME JOBS AS OF SEPTEMBER AND I JUST DO,neutral
HELLO. FOR THE THIRD DAY IN A ROW MY NATWEST IOS APP ON MY IPHONE HAS RESET ITSELF AND IS ASKING FOR MY CUSTOMER,neutral
I AM SHOOKETH,neutral
MAKE SURE YOU FAMILIARISE YOURSELF WITH THIS HANDY GUIDE BEFORE TONIGHTS PROCEEDINGS,positive
MAKE SURE YOU FAMILIARISE YOURSELF WITH THIS HANDY GUIDE BEFORE TONIGHTS PROCEEDINGS,positive
CANT BELIEVE YOURE ALL WATCHING THE ENGLAND GAME IN EAST LONDON WHILST IM WATCHING IT SOMEWHERE WHERE ITS 5 POUNDS FOR 5 JGERBOMBS,negative
THANK YOU BOTH YOU LOVELY HUMANS. I WOULD GET FLOATY TROUSER BUT I FEEL TOO SHORT AND DUMPY,positive
GOWNS AND PHOTOGRAPHS HIRED TWO DRESSES TO CHOOSE FROM JUST GOT TO HER MY RESULTS FIND SOME SHOES GET MY NAILS D,neutral
ME AT ENGLAND RN UNTIL NEXT WEEK,neutral
SINKING IN DICK SAND...,neutral
I NEED THE NEXT TWO DAYS TO FCUKING FLY BY,positive
THIS WILL HONESTLY BE ME AS A MOTHER,positive
MY BOYFRIEND HAS GONE ABOVE AND BEYOND TO LOOK AFTER ME TODAY,neutral
BOTH TEAMA ACTUALLY GOING FOR THE LOSS GWAAAN BOYS,neutral
BOTH TEAMS ACTUALLY GOING FOR THE LOSS GWAAAN BOYS,neutral
JOINING LATE BUT THE CONVERSATION ALREADY LOOKS V INTERESTING,positive
A6 OPPORTUNITY FOR MENTORSHIP CAREER ADVANCEMENT PROGRAMS HAVING DIVERSE AND INCLUSIVE LEADERSHIP THE PRIVATE SE,neutral
A7 CREATE SPACE FOR WOC TO SPEAK AT SCHOOLSEVENTSPANELS CREATE MORE VISIBILITY INTERNALLYEXTERNALLY EG OPPORTU,positive
